lm,lml,rf,y-real
113.8376717422079,110.98164205896177,113.3551724137931,100.5
48.49999999993272,73.60241900069629,51.203448275862065,48.5
123.29907800237054,114.15733267713901,152.0344827586207,154.5
110.33649422452908,126.48158330169004,124.37241379310345,122.0
154.8312257990513,151.70595670634304,151.70862068965516,162.0
139.947676582578,129.76992068018453,114.48275862068965,107.0
136.02688525623796,137.04490698350008,143.21724137931034,150.5
30.710523201693043,42.10320082615665,62.68793103448276,44.5
45.51476822549311,57.949709937474196,73.17931034482758,59.5
83.66055708069452,92.43167792634179,77.09137931034483,51.5
153.57780709479408,151.16697188344227,146.32413793103447,161.5
77.00857442155305,80.39598196526426,73.39655172413794,61.0
117.93771280443856,116.12150709198016,110.82241379310345,102.5
132.50220424533887,126.35623053808423,115.18448275862069,120.0
42.999685863771205,60.20168662132738,79.23275862068965,106.5
145.07629487092575,133.44266126490712,138.43103448275863,140.0
68.87772942802499,67.56950182870614,76.1948275862069,56.5
64.71931749980992,73.08676663685313,71.6103448275862,61.5
127.13511196615278,103.54780656458964,100.26551724137931,85.5
87.26532161340616,85.9587451171648,95.41206896551724,106.0
101.58503326174792,101.49325370907822,111.24310344827586,74.0
109.91824074084539,112.85899527136445,147.66034482758621,154.5
149.94088379154573,150.96979861453073,147.27241379310345,150.5
112.21599152985988,109.6388090130933,113.00862068965517,110.5
148.2937414353325,150.7654316205682,131.40862068965518,98.5
101.03797139563949,100.47736384067926,105.17241379310344,109.0
75.74932549586815,75.00206855145649,73.0551724137931,61.0
135.9445629797482,130.49933490164096,140.8206896551724,146.5
93.93222823067259,92.29447485181187,104.26551724137931,107.0
113.17255644792792,104.191268289711,97.86379310344827,95.0
69.65194075944571,82.47658931872837,90.83793103448276,87.5
52.11471652431542,66.99125989476866,53.84827586206897,52.5
143.41273052093226,138.40219288035212,123.44137931034483,133.0
113.47367932310047,101.80923459388958,101.80172413793103,76.5
105.60805619327297,94.63978341655181,103.9,110.0
82.41659585576791,95.03886109146748,90.67068965517241,79.5
72.53626011861188,79.21181117486125,84.87413793103448,90.0
112.57795930663995,100.0872610117986,111.52241379310345,120.0
62.98138704513291,87.68566617869939,65.79827586206896,62.5
117.43787785001251,119.82553909623613,118.40862068965517,121.0
169.67687199659093,159.4440923058824,199.91034482758621,194.5
111.07730974168786,115.01609512445047,121.39310344827587,122.5
77.45665230623246,103.04525781344698,91.41896551724138,80.0
104.83492661225529,106.20207862773675,79.27931034482759,74.0
151.10276451477353,155.08814020056815,144.74137931034483,169.0
